Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP2546002G,180028225,Montgomery County Police,Fatal Crash,06/08/2018 03:50:00 AM,Yes,Maryland (State),South,,3,South,15,FEET,LEVEL,GEORGIA AVE,HEWITT AVE,,N/A,PEDESTRIAN,UNKNOWN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,UNKNOWN,UNKNOWN,UNKNOWN,PEDESTRIAN,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.077337,-77.070821,"(39.077337, -77.070821)"
MCP31760021,230015101,Montgomery County Police,Property Damage Crash,03/29/2023 05:23:00 AM,No,Maryland (State),South,,3,South,30,FEET,LEVEL,GEORGIA AVE,BALLARD ST,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,FIXED OBJECT,FIXED OBJECT,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.00042,-77.03285,"(39.00042, -77.03285)"
MCP1522000Y,16031031,Montgomery County Police,Property Damage Crash,06/19/2016 02:23:00 PM,Yes,Maryland (State),North,,2,North,0,FEET,LEVEL,WOODFIELD RD,WARFIELD RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.19504578,-77.15312004,"(39.19504578, -77.15312004)"
MCP28670053,170548503,Montgomery County Police,Injury Crash,12/14/2017 10:13:00 AM,No,Maryland (State),South,,3,North,0,FEET,LEVEL,NEW HAMPSHIRE AVE,OAKVIEW DR,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.01732,-76.977335,"(39.01732, -76.977335)"
MCP3246000F,200040091,Montgomery County Police,Injury Crash,10/11/2020 11:55:00 PM,No,Maryland (State),North,,3,North,0,FEET,LEVEL,CONNECTICUT AVE,VEIRS MILL RD,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05217733,-77.07454067,"(39.05217733, -77.07454067)"
MCP28180039,170549454,Montgomery County Police,Property Damage Crash,12/19/2017 10:11:00 AM,No,Maryland (State),South,,1,North,0,FEET,HILL CREST,PINEY BRANCH RD,RITCHIE AVE,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,N/A,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.98782,-77.01254667,"(38.98782, -77.01254667)"
MCP115100BV,200007296,Montgomery County Police,Injury Crash,02/13/2020 10:50:00 AM,No,County,North,,2,North,0,FEET,GRADE DOWNHILL,TALL FOREST DR,TALL FOREST CIR,,N/A,,DRIVER,OPPOSITE DIRECTION SIDESWIPE,RAINING,WET,DAYLIGHT,N/A,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.2002495,-77.23641517,"(39.2002495, -77.23641517)"
MCP2617005H,180010333,Montgomery County Police,Property Damage Crash,02/28/2018 10:05:00 AM,No,Maryland (State),East,,2,East,50,FEET,LEVEL,OLNEY LAYTONSVILLE RD,MUNCASTER RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.18405167,-77.11254833,"(39.18405167, -77.11254833)"
EJ7826002Q,170542672,Gaithersburg Police Depar,Property Damage Crash,11/14/2017 08:11:00 AM,No,Municipality,West,,1,West,0,FEET,LEVEL,DUVALL LA,W DEER PARK RD,,GAITHERSBURG,,DRIVER,OTHER,CLOUDY,DRY,DAYLIGHT,STOP SIGN,N/A,,PARKED VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,N/A,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.129505,-77.20120667,"(39.129505, -77.20120667)"
MCP9432000Q,15008409,Montgomery County Police,Injury Crash,02/20/2015 06:48:00 PM,No,County,West,CROSSOVER AREA,3,East,0,FEET,LEVEL,MIDDLEBROOK RD,ENT TO MIDDLEBROOK SQ SHOPPING CENTER,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,COMMERCIAL DRIVEWAY,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.17939833,-77.24031333,"(39.17939833, -77.24031333)"
EJ7889001P,210051918,Gaithersburg Police Depar,Property Damage Crash,12/20/2021 05:45:00 PM,No,Maryland (State),East,,2,East,25,FEET,LEVEL,W DIAMOND AVE,MUDDY BRANCH RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DUSK,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.1400705,-77.20447967,"(39.1400705, -77.20447967)"
EJ78370082,240025206,GAITHERSBURG,Property Damage Crash,05/28/2024 11:45:00 AM,,County Route,Westbound,"Lane 1, Lane 2",3,North,11.18,FEET,Level,MONTROSE RD (WB/L),,,,,UNKNOWN,"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",39.05446426,-77.14142677,"(39.05446426, -77.14142677)"
MCP285900C3,220017114,Montgomery County Police,Property Damage Crash,04/22/2022 01:40:00 PM,No,County,West,,3,North,0,FEET,LEVEL,SHADY GROVE RD,RAMP 5 FR IS 270 SB TO SHADY GROVE RD,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10948,-77.188415,"(39.10948, -77.188415)"
MCP3064004S,220054956,Montgomery County Police,Property Damage Crash,11/09/2022 11:00:00 AM,Yes,County,West,SHOULDER AREA,1,West,200,FEET,LEVEL,OLD RANDOLPH RD,KEMP MILL RD,,N/A,,UNKNOWN,OTHER,CLEAR,DRY,DAYLIGHT,N/A,"NONE DETECTED, UNKNOWN",,FIXED OBJECT,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.06430991,-77.03127874,"(39.06430991, -77.03127874)"
MCP9424000V,16025930,Montgomery County Police,Injury Crash,05/25/2016 01:12:00 AM,No,Maryland (State),South,,3,South,15,FEET,GRADE DOWNHILL,FREDERICK RD,ENT TO MILESTONE SHOPPING CENTER,,N/A,,DRIVER,ANGLE MEETS RIGHT TURN,CLEAR,DRY,DARK LIGHTS ON,N/A,"ALCOHOL PRESENT, NONE DETECTED",,OTHER VEHICLE,N/A,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.22363667,-77.276695,"(39.22363667, -77.276695)"
EJ7851009B,230005141,Gaithersburg Police Depar,Injury Crash,01/31/2023 06:45:00 PM,No,Maryland (State),North,,2,North,0,FEET,LEVEL,FREDERICK RD,MONTGOMERY VILLAGE AVE,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLOUDY,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.15305905,-77.21243245,"(39.15305905, -77.21243245)"
DD5620003G,190002896,Rockville Police Departme,Property Damage Crash,01/18/2019 03:32:00 PM,No,Ramp,South,ON RAMP,1,South,0,FEET,GRADE DOWNHILL,RAMP 6 FR MD 28 EB TO IS 270 SB,W MONTGOMERY AVE,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OVERTURN,N/A,INTERCHANGE RELATED,OTHER,CURVE RIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.08755617,-77.1765415,"(39.08755617, -77.1765415)"
DD5652000N,220017978,Rockville Police Departme,Injury Crash,04/28/2022 08:41:00 AM,No,Maryland (State),West,,2,East,50,FEET,LEVEL,VEIRS MILL RD,EDMONSTON DR,,ROCKVILLE,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.0783675,-77.12923317,"(39.0783675, -77.12923317)"
MCP25920029,220025073,Montgomery County Police,Property Damage Crash,06/11/2022 10:29:00 AM,No,County,West,,1,West,20,FEET,GRADE DOWNHILL,BRINK RD,BEGIN BRIDGE,,N/A,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,N/A,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,NON INTERSECTION,N/A,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.20504833,-77.18660167,"(39.20504833, -77.18660167)"
MCP2617003N,170512101,Montgomery County Police,Property Damage Crash,06/06/2017 01:57:00 PM,No,Maryland (State),South,,2,North,0,FEET,LEVEL,OLD GEORGETOWN RD,GLENWOOD RD,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.98835,-77.100355,"(38.98835, -77.100355)"
MCP23390013,15037366,Montgomery County Police,Property Damage Crash,07/28/2015 07:35:00 PM,No,County,East,LEFT TURN LANE,4,West,30,FEET,LEVEL,BONIFANT RD,NEW HAMPSHIRE AVE,,N/A,,DRIVER,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.095803,-77.022394,"(39.095803, -77.022394)"
MCP9392000V,180052648,Montgomery County Police,Property Damage Crash,10/20/2018 09:35:00 PM,No,County,South,,2,South,0.5,MILE,LEVEL,RIFFLE FORD RD,MONARCH VISTA DR,,N/A,,UNKNOWN,SINGLE VEHICLE,RAINING,WET,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,,ANIMAL,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.13525333,-77.27187333,"(39.13525333, -77.27187333)"
MCP32850019,210038175,Montgomery County Police,Property Damage Crash,09/27/2021 07:44:00 AM,No,,,,,,,,,,,PARKING LOT OF 12918 MIDDLEBROOK RD EXXON,,,DRIVER,SAME DIR REAR END,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,,,,,,39.18026167,-77.26948,"(39.18026167, -77.26948)"
MCP30600036,220000593,Montgomery County Police,Injury Crash,01/05/2022 09:48:00 PM,No,Maryland (State),North,,2,East,5,FEET,LEVEL,RIVER RD,LITTLE FALLS PKWY,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,WET,DARK LIGHTS ON,NO CONTROLS,N/A,,OTHER VEHICLE,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",38.96378667,-77.10219833,"(38.96378667, -77.10219833)"
MCP1210002S,180036462,Montgomery County Police,Injury Crash,07/23/2018 03:26:00 PM,No,County,South,,2,South,0,FEET,LEVEL,MIDCOUNTY HWY,WASHINGTON GROVE LA,,N/A,,UNKNOWN,HEAD ON LEFT TURN,CLOUDY,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.14745,-77.16919833,"(39.14745, -77.16919833)"
MCP3123008B,250032536,MONTGOMERY,Property Damage Crash,07/21/2025 04:30:00 PM,No,Maryland (State) Route,Southbound,Lane 1,3,North,44.23,FEET,Hillcrest,GEORGIA AVE (SB/L),,,,,DRIVER,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Non-Junction,,Straight,No Defects,"Divided, Depressed Median",39.1278961,-77.07185738,"(39.1278961, -77.07185738)"
MCP2786003F,210029786,Montgomery County Police,Property Damage Crash,08/01/2021 03:53:00 AM,No,Interstate (State),West,,4,East,0.33,MILE,LEVEL,CAPITAL BELTWAY,CONNECTICUT AVE,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,WET,DARK LIGHTS ON,N/A,ALCOHOL PRESENT,,FIXED OBJECT,FIXED OBJECT,N/A,N/A,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.00712667,-77.06841,"(39.00712667, -77.06841)"
MCP31650042,220034672,Montgomery County Police,Injury Crash,08/12/2022 10:30:00 AM,No,County,West,,1,West,25,FEET,LEVEL,DUSTIN RD,DUSTIN CT,,N/A,PEDESTRIAN,DRIVER,SAME DIR REND RIGHT TURN,N/A,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,PARKED VEHICLE,PEDESTRIAN,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.12153,-76.9171608,"(39.12153, -76.9171608)"
MCP2720002J,16055870,Montgomery County Police,Property Damage Crash,10/30/2016 05:29:00 AM,No,County,North,,1,North,250,FEET,LEVEL,LURAY CT,OLNEY MILL RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,,PARKED VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.16467833,-77.08514833,"(39.16467833, -77.08514833)"
MCP0036009G,190009362,Montgomery County Police,Injury Crash,02/27/2019 03:05:00 PM,No,Maryland (State),West,,2,West,10,FEET,HILL UPHILL,CLOPPER RD,WARING STATION RD,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.15421167,-77.25494667,"(39.15421167, -77.25494667)"
MCP14330059,230050787,Montgomery County Police,Property Damage Crash,08/22/2023 09:25:00 PM,No,County,West,,3,West,250,FEET,LEVEL,MONTROSE RD,FARM HAVEN DR,,ROCKVILLE,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,N/A,NONE DETECTED,,FIXED OBJECT,OTHER OBJECT,NON INTERSECTION,N/A,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05454,-77.14413333,"(39.05454, -77.14413333)"
MCP2921003D,190046244,Montgomery County Police,Property Damage Crash,09/26/2019 07:55:00 PM,No,,,,,,,,,,,HOLY CROSS HOSPITAL GERMANTOWN PARKING LOT,,,DRIVER,OTHER,CLEAR,,DARK LIGHTS ON,N/A,N/A,,PARKED VEHICLE,N/A,,,,,,39.18231,-77.242235,"(39.18231, -77.242235)"
MCP2394002M,170539892,Montgomery County Police,Property Damage Crash,10/30/2017 09:31:00 PM,No,County,South,,1,North,0,FEET,LEVEL,BOU AVE,ENT TO BUSINESS,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05705333,-77.11836,"(39.05705333, -77.11836)"
MCP2680002Q,180044563,Montgomery County Police,Property Damage Crash,09/06/2018 05:28:00 PM,No,Maryland (State),East,SHOULDER AREA,2,East,20,FEET,LEVEL,EAST WEST HWY,BLAIR MILL RD,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,ALCOHOL PRESENT,,PARKED VEHICLE,PARKED VEHICLE,INTERSECTION RELATED,Y-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99014133,-77.02904765,"(38.99014133, -77.02904765)"
MCP32000021,200034798,Montgomery County Police,Injury Crash,09/05/2020 02:12:00 PM,Yes,Maryland (State),East,,1,East,0,FEET,GRADE DOWNHILL,METROPOLITAN AVE,N KENSINGTON PKWY,,KENSINGTON,BICYCLIST,DRIVER,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,NONE DETECTED,PEDESTRIAN,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.02620496,-77.06980941,"(39.02620496, -77.06980941)"
MCP3213001K,220050195,Montgomery County Police,Property Damage Crash,11/14/2022 02:38:00 AM,No,US (State),North,,3,North,0,FEET,LEVEL,COLUMBIA PIKE,BLACKBURN RD,,N/A,,UNKNOWN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10415217,-76.93298217,"(39.10415217, -76.93298217)"
MCP2987001K,17009316,Montgomery County Police,Injury Crash,02/21/2017 10:40:00 AM,No,Maryland (State),South,,2,South,0,FEET,LEVEL,PINEY BRANCH RD,ARLISS ST,,N/A,PEDESTRIAN,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,PEDESTRIAN,N/A,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",38.99820667,-77.00123167,"(38.99820667, -77.00123167)"
MCP27890062,220021993,Montgomery County Police,Property Damage Crash,05/23/2022 02:49:00 PM,No,County,West,,2,West,100,FEET,LEVEL,POWDER MILL RD,SWEETBRIAR PKWY,,N/A,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,FIXED OBJECT,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0235549,-76.97366738,"(39.0235549, -76.97366738)"
MCP30950057,240026631,MONTGOMERY,Property Damage Crash,06/04/2024 07:52:00 PM,,County Route,Westbound,Lane 1,1,East,48.75,FEET,Level,LOCKWOOD DR,,,,,UNKNOWN,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,Non-Junction,,Straight,,"Divided, Flush Median (greater than 4ft wide)",39.04124689,-76.98597169,"(39.04124689, -76.98597169)"
DD5615000H,15050777,ROCKVILLE,Injury Crash,10/07/2015 08:50:00 AM,No,Maryland (State),South,,4,South,10,FEET,LEVEL,HUNGERFORD DR,FREDERICK AVE #2,,ROCKVILLE,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.09438087,-77.15342045,"(39.09438087, -77.15342045)"
EJ7886003F,240010291,GAITHERSBURG,Property Damage Crash,03/02/2024 11:13:00 PM,No,Maryland (State) Route,Southbound,Lane 1,2,South,0,FEET,Level,GREAT SENECA HWY (SB/L),QUINCE ORCHARD RD (SB/L),,,,DRIVER,"Sideswipe, Same Direction",Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Intersection or Related,Angled/Skewed,Straight,No Defects,"Divided, Depressed Median",39.12860796,-77.23786801,"(39.12860796, -77.23786801)"
MCP3123003B,220007710,Montgomery County Police,Injury Crash,02/22/2022 08:10:00 AM,No,County,South,,1,East,200,FEET,LEVEL,NEEDWOOD RD,MUNCASTER MILL RD,,N/A,,DRIVER,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,N/A,N/A,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.13251923,-77.12192467,"(39.13251923, -77.12192467)"
MCP94390011,240030529,MONTGOMERY,Injury Crash,06/28/2024 09:22:00 AM,No,County Route,Eastbound,"Lane 1, Lane 2","2, 4",East,157.22,FEET,Level,RANDOLPH RD,,,,,UNKNOWN,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Not Applicable,Non-Junction,,Straight,No Defects,Not Divided,39.05326137,-77.10893863,"(39.05326137, -77.10893863)"
DM83700012,170531978,Takoma Park Police Depart,Property Damage Crash,09/21/2017 04:01:00 PM,No,Government,East,,1,West,0,FEET,LEVEL,SLIGO CREEK PKWY,HEATHER AVE,,TAKOMA PARK,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.97997167,-76.99456333,"(38.97997167, -76.99456333)"
MCP23050037,240005114,MONTGOMERY,Property Damage Crash,02/01/2024 05:03:00 AM,No,Maryland (State) Route,Northbound,Lane 1,2,North,20.82,FEET,Uphill,RIDGE RD,,,,,UNKNOWN,Single Vehicle,Clear,Ice/Frost,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Curb,Not Applicable,Through Roadway,,Curve Left,Not Applicable,Not Divided,39.29733597,-77.20356904,"(39.29733597, -77.20356904)"
MCP3405000Q,250026133,MONTGOMERY,Injury Crash,06/11/2025 11:07:00 PM,No,County Route,Eastbound,Lane 2,4,South,45.25,FEET,Level,WISTERIA DR,,,,,UNKNOWN,Single Vehicle,Clear,Dry,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Tree (standing),Not Applicable,Non-Junction,,Straight,No Defects,Not Divided,39.17935375,-77.27415009,"(39.17935375, -77.27415009)"
MCP2934004P,220026330,Montgomery County Police,Property Damage Crash,06/18/2022 05:23:00 PM,Yes,,,,,,,,,,,PARKING LOT OF 7111 WESTLAKE TER,,,DRIVER,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,N/A,,,,,,39.02787933,-77.14460083,"(39.02787933, -77.14460083)"
MCP2922000Z,17501416,Montgomery County Police,Property Damage Crash,03/20/2017 02:40:00 PM,Yes,US (State),South,,6,North,25,FEET,LEVEL,COLESVILLE RD,UNIVERSITY BLVD E,,N/A,,DRIVER,SAME DIRECTION LEFT TURN,N/A,DRY,DAYLIGHT,N/A,N/A,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.04264333,-76.987145,"(39.04264333, -76.987145)"
DD5647001L,210052963,Rockville Police Departme,Property Damage Crash,12/28/2021 05:16:00 PM,No,Municipality,West,,1,West,0,FEET,LEVEL,CONGRESSIONAL LA,E JEFFERSON ST,,ROCKVILLE,,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,YIELD SIGN,N/A,,OTHER VEHICLE,N/A,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.063188,-77.1280505,"(39.063188, -77.1280505)"
MCP2861004T,210022480,Montgomery County Police,Property Damage Crash,06/12/2021 03:40:00 PM,No,County,East,,3,East,5,FEET,LEVEL,DEMOCRACY BLVD,RAMP 1 FR RP 4 EB TO DEMOCRACY BLVD,,N/A,,DRIVER,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.021495,-77.14378,"(39.021495, -77.14378)"
MCP33390045,240035616,MONTGOMERY,Property Damage Crash,07/28/2024 09:13:00 PM,,County Route,Northbound,"Lane 1, Lane 3, Left Turn Lane",4,East,0,FEET,Level,MAY ST,GEORGIA AVE (SB/L),,,,DRIVER,Rear To Side,Clear,Dry,Dark - Not Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,Motor Vehicle In Transport,Intersection or Related,Angled/Skewed,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide)",39.07234087,-77.06500521,"(39.07234087, -77.06500521)"
