Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP2357002D,170523306,Montgomery County Police,Property Damage Crash,08/06/2017 08:15:00 AM,Yes,Maryland (State),South,,2,North,0,FEET,LEVEL,16TH ST,EAST WEST HWY,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,N/A,INTERSECTION,ROUNDABOUT,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99216833,-77.03684833,"(38.99216833, -77.03684833)"
DD5583004T,190005781,Rockville Police Departme,Injury Crash,02/05/2019 08:18:00 PM,No,Municipality,North,,1,South,100,FEET,LEVEL,MANNAKEE ST,W CAMPUS DR,,N/A,,DRIVER,STRAIGHT MOVEMENT ANGLE,N/A,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,COMMERCIAL DRIVEWAY,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.09542233,-77.158806,"(39.09542233, -77.158806)"
MCP3295001Z,220037100,Montgomery County Police,Injury Crash,08/27/2022 05:38:00 PM,No,Maryland (State),West,,4,East,100,FEET,LEVEL,UNIVERSITY BLVD E,COLESVILLE RD,,N/A,,UNKNOWN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OVERTURN,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,39.03499205,-76.98487112,"(39.03499205, -76.98487112)"
MCP2107003Z,230019400,Montgomery County Police,Property Damage Crash,04/23/2023 12:56:00 PM,No,County,West,,1,East,0.5,MILE,HILL UPHILL,BARNESVILLE RD,PEACH TREE RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.209901,-77.34680183,"(39.209901, -77.34680183)"
MCP28640019,15040978,MONTGOMERY,Injury Crash,08/16/2015 08:01:00 PM,No,Maryland (State),South,,2,North,,MILE,HILL UPHILL,FALLS RD,POTOMAC TENNIS LA,,N/A,,DRIVER,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,"ALCOHOL PRESENT, NONE DETECTED",,OTHER VEHICLE,N/A,NON INTERSECTION,N/A,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.03194853,-77.19690442,"(39.03194853, -77.19690442)"
MCP0704000J,15018940,Montgomery County Police,Property Damage Crash,04/24/2015 05:45:00 PM,Yes,Maryland (State),South,,4,North,25,FEET,LEVEL,OLD GEORGETOWN RD,CORDELL AVE,,N/A,BICYCLIST,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,BICYCLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.98662833,-77.09057333,"(38.98662833, -77.09057333)"
DD55980021,170538866,Rockville Police Departme,Injury Crash,10/25/2017 07:27:00 PM,No,Maryland (State),North,,3,North,0,FEET,LEVEL,HUNGERFORD DR,PARK RD,,ROCKVILLE,,DRIVER,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08479417,-77.1478665,"(39.08479417, -77.1478665)"
MCP2425006Z,16029144,Montgomery County Police,Property Damage Crash,06/10/2016 06:55:00 AM,No,County,West,,1,West,40,FEET,LEVEL,STATESIDE DR,AVENEL RD,,N/A,,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,PARKED VEHICLE,N/A,NON INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.010705,-76.98051,"(39.010705, -76.98051)"
DD56030034,16045827,Rockville Police Departme,Property Damage Crash,09/07/2016 05:00:00 PM,No,Municipality,East,,2,West,0,FEET,LEVEL,WOOTTON PKWY,FLEET ST,,ROCKVILLE,,DRIVER,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07573484,-77.14029908,"(39.07573484, -77.14029908)"
MCP27720022,230051600,Montgomery County Police,Injury Crash,08/27/2023 05:10:00 AM,No,Maryland (State),North,,3,South,20,FEET,LEVEL,CONNECTICUT AVE,LELAND ST,,CHEVY CHASE #5,,DRIVER,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,FIXED OBJECT,FIXED OBJECT,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.98487083,-77.07710617,"(38.98487083, -77.07710617)"
