Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
DD5681000K,250024376,ROCKVILLE,Property Damage Crash,06/01/2025 07:05:00 PM,Ramp,RAMP 3 FR MD 189 EB TO IS 270 NB,,,,,Front to Rear,Cloudy,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,B048E7ED-8F23-458B-87EA-52C7250205F2,No,No Apparent Injury,,Not Distracted,MD,3F93318D-66CA-4BE4-BA08-BC519D6A04A6,Functional,Seven O Clock,Passenger Car,Moving Constant Speed,Northbound,55,No,No,2018,TOYOTA,4-RUNNER,39.07553079,-77.16608415,"(39.07553079, -77.16608415)"
MCP3268002B,220034489,Montgomery County Police,Injury Crash,08/11/2022 09:32:00 AM,Maryland (State),NEW HAMPSHIRE AVE,VALLEY BROOK DR,,N/A,,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,AA537B60-BB9F-4B40-B9F4-6798A14F26DF,Yes,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,8E91165A-6646-40C0-834F-3829B87B6780,FUNCTIONAL,TWELVE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,South,35,No,No,2013,TOYOTA,TUNDRA,39.05478304,-76.94865909,"(39.05478304, -76.94865909)"
MCP2286002J,190037035,Montgomery County Police,Property Damage Crash,08/03/2019 04:20:00 PM,Municipality,KING FARM BLVD,GRAND CHAMPION DR,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,YIELD SIGN,NONE DETECTED,,17406171-4181-4DEB-B069-AFFFEE3A723B,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,DAA872C1-E7A9-4857-A53E-4642F1805F06,DISABLING,TEN OCLOCK,POLICE VEHICLE/EMERGENCY,MOVING CONSTANT SPEED,East,25,No,No,2013,HOND,4S,39.11537667,-77.170665,"(39.11537667, -77.170665)"
MCP91340013,180065275,Montgomery County Police,Property Damage Crash,12/31/2018 12:32:00 AM,,,,PARKING LOT BEHIND 8656 COLESVILLE RD,,,SAME DIR REAR END,CLEAR,,DARK LIGHTS ON,N/A,N/A,,FEEFF10C-909F-4039-8460-C76D2A5CCA73,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,D0557B5D-3E7B-4FB5-B462-A38EFA016B1E,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,0,No,No,2007,TOYT,RAV4,38.99770167,-77.028275,"(38.99770167, -77.028275)"
MCP3153004Q,230016794,Montgomery County Police,Property Damage Crash,04/04/2023 02:30:00 PM,Maryland (State),GEORGIA AVE,LAYHILL RD,,N/A,,SAME DIR REAR END,UNKNOWN,UNKNOWN,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,,4F65E0DE-4E04-4E92-B4F2-7EE33CF07175,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,B04F41B0-0C7F-4AC1-8C60-0E42B749AE3B,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,35,No,No,2018,HONDA,CIVIC,39.06044993,-77.05146437,"(39.06044993, -77.05146437)"
MCP2878000Z,15017119,Montgomery County Police,Property Damage Crash,04/13/2015 04:20:00 PM,Maryland (State),RIDGE RD,BROWN CHURCH RD,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,A1506646-5DA6-4539-94D7-462F21D867F8,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F59E0ADB-9187-498D-A7F9-CEB778E1868A,DISABLING,ONE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,South,50,No,No,2004,FORD,TK,39.42305,-77.45539167,"(39.42305, -77.45539167)"
MCP94190011,17008177,Montgomery County Police,Injury Crash,02/15/2017 06:12:00 AM,Maryland (State),FREDERICK RD,RIDGEMONT AVE,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,B5DFEFF7-5AE9-43F0-A5DE-27C5172C6A7D,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,1DC916E6-9E51-4652-8C45-47CFA0869024,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40,No,No,2002,CHEVY,MONTE CARLO,39.1193895,-77.172171,"(39.1193895, -77.172171)"
MCP2791000Y,15000637,Montgomery County Police,Property Damage Crash,01/04/2015 10:40:00 PM,County,GREENCASTLE RD,TURBRIDGE DR,,N/A,,OTHER,CLEAR,WET,DARK LIGHTS ON,N/A,ALCOHOL PRESENT,,568B98FC-C7EF-4C3E-AB4F-3212E3EA5027,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,3BC24FB1-6CC4-4E29-8CAA-37BA88C489CB,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,PARKING,West,15,No,No,2013,NISS,4S,39.092495,-76.92835833,"(39.092495, -76.92835833)"
DD55400018,210030015,Rockville Police Departme,Property Damage Crash,08/02/2021 07:12:00 PM,Maryland (State),ROCKVILLE PIKE,TALBOTT ST,,ROCKVILLE,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,A7DDCF4E-474D-4F13-98AE-89823C18F18A,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,A062D696-453E-42CB-AC8B-728DD4E837F4,FUNCTIONAL,TEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,25,No,No,2017,HOND,4S,39.07094744,-77.13223961,"(39.07094744, -77.13223961)"
MCP3394000W,240025667,MONTGOMERY,Injury Crash,05/30/2024 04:52:00 PM,Spur,,NICHOLSON LA,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,A310A6B4-FB1C-4E43-A9CB-4D02D38D036B,Yes,Suspected Minor Injury,,Not Distracted,MD,B57D4238-D8D8-4610-B247-965DEEAED200,Disabling,Eleven O Clock,Passenger Car,Moving Constant Speed,Eastbound,30,No,No,2018,HYUNDAI,ELANTRA,39.04571337,-77.10449419,"(39.04571337, -77.10449419)"
MCP2617000Y,15046486,MONTGOMERY,Injury Crash,09/14/2015 01:30:00 PM,County,LONE OAK DR,HURST ST,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,E5D658FD-67E6-4D9B-BA97-6B44840B032D,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,3281CCF9-BF72-447F-8CC7-0A550F15B6C4,DISABLING,TWELVE OCLOCK,MOTORCYCLE,MOVING CONSTANT SPEED,West,25,No,No,2012,TRIUMPH,MOTORCYCLE,39.019725,-77.118325,"(39.019725, -77.118325)"
MCP292300DV,250021628,MONTGOMERY,Injury Crash,05/16/2025 12:44:00 PM,Maryland (State) Route,UNIVERSITY BLVD W (WB/L),,,,,Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,A7289E5C-7B0B-4DA8-8C04-87DE3848AF33,No,Suspected Minor Injury,,Not Distracted,MD,0C191F67-9541-45EF-8A56-A831723E0C4D,Disabling,Twelve O Clock,Sport Utility Vehicle,Moving Constant Speed,Not On Roadway,35,No,No,2023,LEXUS,GX,39.03772487,-77.05955155,"(39.03772487, -77.05955155)"
EJ7884003R,220004901,Gaithersburg Police Depar,Property Damage Crash,02/04/2022 04:09:00 PM,Municipality,PERRY PKWY,FREDERICK RD,,N/A,,SAME DIRECTION SIDESWIPE,RAINING,WET,DAYLIGHT,NO CONTROLS,N/A,,55839706-66EF-424E-B7BB-0E22E37AF0F8,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,DAE544F0-B8F6-4DE3-85E7-055F454B1831,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,25,No,No,2010,HOND,UT,39.14986905,-77.2093222,"(39.14986905, -77.2093222)"
MCP2592002L,230007232,Montgomery County Police,Injury Crash,02/13/2023 09:40:00 AM,County,GOSHEN RD,SNOUFFERS SCHOOL RD,,N/A,PEDESTRIAN,HEAD ON LEFT TURN,CLEAR,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,15D3D03D-5C3C-4D84-9060-2BF9E8D417D0,No,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,80A10D6F-4B97-4663-AA38-A659EAB82933,DESTROYED,EIGHT OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,30,No,No,2008,FORD,TK,39.18786333,-77.187085,"(39.18786333, -77.187085)"
MCP2016000G,15014717,Montgomery County Police,Property Damage Crash,03/31/2015 08:11:00 AM,County,E GUDE DR,CRABBS BRANCH WAY,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,38318169-8F4F-418D-868F-7CD9734F6CB1,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,020F67D5-3881-4943-9153-3136DD1A9D6D,FUNCTIONAL,ELEVEN OCLOCK,PASSENGER CAR,STARTING FROM LANE,North,35,No,No,1987,MERZ,560SEL,39.12122,-77.15830167,"(39.12122, -77.15830167)"
MCP2427000B,240043693,MONTGOMERY,Injury Crash,09/13/2024 09:42:00 PM,Maryland (State) Route,FREDERICK RD (SB/L),KING FARM BLVD,,,,Front to Rear,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,F84445F0-C971-4E4E-8CD8-1D9D997598EA,No,Suspected Minor Injury,,Not Distracted,MD,4339A68C-5A4C-44AC-ADCD-D1D4A8B08039,Functional,Six O Clock,Sport Utility Vehicle,Stopped in Traffic,Southbound,35,No,No,2019,DODGE,DURANGO,39.11725272,-77.16915028,"(39.11725272, -77.16915028)"
MCP30080039,220030632,Montgomery County Police,Property Damage Crash,07/17/2022 01:06:00 AM,County,GREENWOOD AVE,BROWNING AVE,,N/A,,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,5457683B-8F8C-49D5-AB9D-4DC439CA1FFE,Yes,NO APPARENT INJURY,N/A,UNKNOWN,XX,B00FE472-2086-4322-8F53-52DEA75BD783,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,20,No,No,2008,SCION,TC,38.99555667,-77.00160167,"(38.99555667, -77.00160167)"
MCP3111003F,210013797,Montgomery County Police,Property Damage Crash,04/13/2021 02:00:00 PM,Maryland (State),RIVER RD,GOLDSBORO RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,872BBF86-F7AF-4CC2-95D3-842867D837D5,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,VA,E1C1DC48-F3C8-4123-BB71-AB89BB456342,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,No,No,2010,MERCEDES-BENZ,E350,38.97422317,-77.12346217,"(38.97422317, -77.12346217)"
EJ7854002T,190003367,Gaithersburg Police Depar,Property Damage Crash,01/22/2019 12:36:00 PM,Maryland (State),FREDERICK RD,MONTGOMERY VILLAGE AVE,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,,C88F06A4-6668-4D3A-8168-BCAFC33BE318,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,,1CC0FA2F-3F0A-4563-87A0-1D60CBCD2D7F,N/A,UNKNOWN,UNKNOWN,STOPPED IN TRAFFIC LANE,North,40,No,No,0,UNKNOWN,UNKNOWN,39.150835,-77.21399,"(39.150835, -77.21399)"
MCP26330011,16024186,Montgomery County Police,Property Damage Crash,05/15/2016 07:39:00 PM,County,ODENDHAL AVE,LOST KNIFE RD,,N/A,,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,C9845E08-F8B6-412F-B391-661EE1CB9EEB,No,NO APPARENT INJURY,N/A,UNKNOWN,MD,9F669F07-7944-4826-A7DB-66569F747E91,FUNCTIONAL,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,30,No,No,2007,TOYT,4DR CAMRY,39.15254167,-77.19830667,"(39.15254167, -77.19830667)"
MCP3136004B,210018517,Montgomery County Police,Property Damage Crash,05/17/2021 08:16:00 AM,Maryland (State),UNIVERSITY BLVD E,ENT TO BUSINESS,,N/A,,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,30E96693-D83F-43C9-881E-F5D35D047A92,No,NO APPARENT INJURY,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",NOT DISTRACTED,MD,2C0198BF-7B9D-4EBD-A722-01479361038D,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,10,No,No,2008,TOYT,4S,38.99962551,-76.99538726,"(38.99962551, -76.99538726)"
MCP3178001N,200003973,Montgomery County Police,Property Damage Crash,01/24/2020 12:20:00 PM,Maryland (State),NEW HAMPSHIRE AVE,COLESVILLE MANOR DR,,N/A,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,OTHER,NONE DETECTED,,24ED9803-068D-4A77-8ACB-F82405842240,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,70AC05C7-D9D3-41B6-8AB0-24972994CA71,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,45,No,No,2015,HOND,ODYSSEY,39.08549333,-76.9997,"(39.08549333, -76.9997)"
DD5652002R,230015772,Rockville Police Departme,Property Damage Crash,04/02/2023 12:07:00 PM,Municipality,HALPINE RD,E JEFFERSON ST,,ROCKVILLE,,STRAIGHT MOVEMENT ANGLE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,842C6744-77E2-4B26-8416-150FE81D8248,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,IA,AF2B04B0-02D8-41E6-9C95-F4696FA47D0A,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,25,No,No,2022,TOYOT,LL,39.0608587,-77.12585157,"(39.0608587, -77.12585157)"
MCP2816004K,250030721,MONTGOMERY,Property Damage Crash,07/10/2025 01:28:00 PM,County Route,SHADY GROVE RD (SB/L),MOLECULAR DR,,,,Angle,Clear,Dry,Daylight,Stop Sign,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,7187B8E2-DC2E-4747-B868-F567CC755034,Yes,No Apparent Injury,Failed to Yield Right-of-Way,Not Distracted,MD,1225C309-406C-464D-9ED6-1BBBAE6CE116,Disabling,Twelve O Clock,Passenger Car,Turning Left,Southbound,40,No,No,2024,HYUNDAI,ELANTRA,39.09192,-77.2087,"(39.09192, -77.2087)"
DD559500CM,220057499,Rockville Police Departme,Property Damage Crash,12/28/2022 08:30:00 AM,Maryland (State),VEIRS MILL RD,EDMONSTON DR,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,2F2EFA2D-F3D3-4688-AE02-AE80FCA175D2,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,2151A774-9D11-4294-8DAF-10243A57A75B,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,40,No,No,2015,FORD,TK,39.07848817,-77.13071467,"(39.07848817, -77.13071467)"
MCP06850020,16009282,Montgomery County Police,Property Damage Crash,02/24/2016 04:52:00 PM,County,PARKLAWN DR,WASHINGTON AVE,,N/A,,ANGLE MEETS LEFT HEAD ON,RAINING,WET,DUSK,N/A,NONE DETECTED,,D455D080-20A0-4B09-AAEA-F1C0A9AA7FDC,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,672B7EAD-CA06-4E93-9AB9-57D8C1AC0572,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,30,No,No,2012,NISS,4DR,39.06129833,-77.11517167,"(39.06129833, -77.11517167)"
MCP3080000B,170535015,Montgomery County Police,Injury Crash,10/06/2017 10:09:00 PM,County,CINNAMON DR,CLOPPER RD,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,,97209387-2477-4D3E-84D4-244D78089672,No,NO APPARENT INJURY,N/A,UNKNOWN,MD,BCD28AA5-2A1C-4544-8C2A-9EB54C72B359,FUNCTIONAL,TWELVE OCLOCK,ALL TERRAIN VEHICLE (ATV),MOVING CONSTANT SPEED,West,40,No,No,2011,LINCOLN,MKZ,39.15542377,-77.26103939,"(39.15542377, -77.26103939)"
MCP3339004T,250002772,MONTGOMERY,Injury Crash,01/20/2025 03:01:00 PM,Maryland (State) Route,GEORGIA AVE (SB/L),,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,3457EE9E-8D15-4A84-8038-55E32F07C224,Yes,Suspected Minor Injury,"Followed Too Closely, Ran Off Roadway",Not Distracted,MD,3C862DC9-5CC8-4656-A173-A7E357B3EFC2,Disabling,Twelve O Clock,Sport Utility Vehicle,Moving Constant Speed,Southbound,35,No,No,2014,FORD,EDGE,39.09405767,-77.07964067,"(39.09405767, -77.07964067)"
HA2424001P,24001463,MCPARK,Property Damage Crash,07/19/2024 10:37:00 AM,Municipality Route,CHICAGO AVE,,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,65D2619B-FBA6-4397-9B3C-31145B15D188,No,No Apparent Injury,,Not Distracted,MD,3C12BF7A-C1FA-4057-8399-C95FF66779D0,Superficial,Six O Clock,Pickup,Slowing or Stopping,Northbound,15,No,No,2017,FORD,F-250,38.98706255,-77.02096132,"(38.98706255, -77.02096132)"
MCP2087001L,170513825,Montgomery County Police,Injury Crash,06/15/2017 12:49:00 PM,County,RANDOLPH RD,SELFRIDGE RD,,N/A,,SAME DIRECTION SIDESWIPE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,FBB7B918-137E-4EEF-A3BB-6D46FC5B7A15,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,6219D556-70B8-4A0B-AFB4-EC98A77FAD13,DISABLING,FOUR OCLOCK,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",MAKING LEFT TURN,West,35,No,No,2005,FORD,F150,39.05533667,-77.08370667,"(39.05533667, -77.08370667)"
MCP295400CV,230004365,Montgomery County Police,Property Damage Crash,01/26/2023 06:05:00 PM,US (State),COLESVILLE RD,ENT TO SHOPPING CENTER,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK -- UNKNOWN LIGHTING,NO CONTROLS,UNKNOWN,,3190924A-28E9-4AD7-9C5F-BA210C60A90C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,C26E2088-8E01-4588-BC5D-88EAF0C120F4,UNKNOWN,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,No,No,2016,TOYOTA,COROLLA,39.02073333,-77.01223,"(39.02073333, -77.01223)"
MCP2767002D,17004206,Montgomery County Police,Property Damage Crash,01/24/2017 05:48:00 PM,Maryland (State),UNIVERSITY BLVD W,ELKIN ST,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,D460A11E-B545-40C8-9564-7816F67C47FF,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,DC,77B53DAC-2BB9-43EA-B957-0D28D89C8C3A,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,CHANGING LANES,East,35,No,No,2005,VOLKS,JETTA,39.04152793,-77.05061674,"(39.04152793, -77.05061674)"
MCP3040006K,240041687,MONTGOMERY,Injury Crash,09/03/2024 12:00:00 PM,Maryland (State) Route,VEIRS MILL RD (WB/L),,,,,Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,58FA5754-F369-4320-9014-6D818F2192EF,No,No Apparent Injury,,Not Distracted,MD,9FAEF893-71D3-4665-AD05-E06C7C0F6D20,Disabling,Six O Clock,Passenger Car,Moving Constant Speed,Westbound,45,No,No,1998,TOYOTA,4-RUNNER,39.06310333,-77.09446333,"(39.06310333, -77.09446333)"
MCP2586004Z,190042011,Montgomery County Police,Injury Crash,09/02/2019 04:46:00 PM,County,COMUS RD,FREDERICK CO/L,,N/A,,SINGLE VEHICLE,CLEAR,WET,DAYLIGHT,N/A,NONE DETECTED,,DEF456AA-9D67-44F6-A37C-BCA93511ABB1,Yes,NO APPARENT INJURY,N/A,TALKING OR LISTENING TO CELLULAR PHONE,MD,162E49C9-50C7-4AE1-9804-1542890D22E6,DESTROYED,TWELVE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,East,40,No,No,2018,FORD,RAPTOR,39.25046667,-77.3798,"(39.25046667, -77.3798)"
MCP3229002J,250016514,MONTGOMERY,Property Damage Crash,04/16/2025 11:04:00 AM,Maryland (State) Route,RIVER RD,,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Unknown, Not Suspect of Drug Use",,A5458508-B048-4D9C-9FF6-31CA436761BA,No,No Apparent Injury,,Not Distracted,DC,5BACCDDB-0BB4-402A-BA3F-FF88AD10584C,Functional,Six O Clock,Passenger Car,Slowing or Stopping,Eastbound,35,No,No,2019,TOYOTA,C-HR,38.966085,-77.1056585,"(38.966085, -77.1056585)"
EJ7899000P,230016031,Gaithersburg Police Depar,Injury Crash,04/04/2023 04:22:00 AM,Maryland (State),FREDERICK RD,MONTGOMERY VILLAGE AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,,6C748C69-0570-4847-BEBA-3FE6DEE76A07,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,BB72F468-FF62-4EAC-B48E-1C712C5A8CF0,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,30,No,No,2016,MAZDA,TK,39.15267338,-77.21195635,"(39.15267338, -77.21195635)"
MCP2497000P,17008225,Montgomery County Police,Injury Crash,02/15/2017 01:03:00 PM,County,ROLLING GREEN WAY,MAINE COVE DR,,N/A,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,E320A2E7-A5EE-46DA-850B-4C82B0D581B2,Yes,POSSIBLE INJURY,N/A,EATING OR DRINKING,MD,9F0326D6-18B4-4B49-A56D-6DA8FAA993BE,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,No,No,2016,JEEP,4X4,39.09562817,-77.2266455,"(39.09562817, -77.2266455)"
MCP3086009M,230063019,Montgomery County Police,Property Damage Crash,10/28/2023 08:15:00 AM,County,SNOUFFERS SCHOOL RD,NO NAME,,N/A,,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,98C5BC98-9B46-48AA-B336-69F75B2E37F2,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,3D9E2ADB-0433-42F9-95B8-468DB92FC8DB,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,35,No,No,2007,HONDA,CRV,39.16736,-77.17354,"(39.16736, -77.17354)"
MCP3374000D,230017371,Montgomery County Police,Property Damage Crash,04/12/2023 07:00:00 AM,County,LONE OAK DR,SINNOTT DR,,N/A,,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,B05A5FFD-1A47-49D2-9059-F9BA44556E1B,Yes,NO APPARENT INJURY,N/A,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,MD,0BF11EF8-35F8-4E02-946F-ABA78E76812B,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25,No,No,2015,TOYOTA,CAMRY,39.02008333,-77.12786833,"(39.02008333, -77.12786833)"
MCP2982002H,190010137,Montgomery County Police,Property Damage Crash,03/04/2019 05:27:00 PM,US (State),GEORGIA AVE,SILVER SPRING AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,B3B971CA-0ADD-4356-AFD4-7B281A4247F1,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,MD,8C1F5E4B-207C-47FC-BAE5-1D3A3243F89C,DISABLING,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,30,No,No,2013,NISSAN,SENTRA,38.99167,-77.026445,"(38.99167, -77.026445)"
EJ78370031,180049248,Gaithersburg Police Depar,Injury Crash,10/02/2018 02:39:00 PM,Municipality,FIRSTFIELD RD,FIRSTFIELD RD (AHEAD),,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,N/A,DAYLIGHT,NO CONTROLS,N/A,N/A,421CF1C8-2EE2-4F54-9051-76F031E7BE7F,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,250EA7E0-27A1-47E6-A9B1-904CDCC998D8,NO DAMAGE,TWELVE OCLOCK,PASSENGER CAR,STARTING FROM LANE,North,25,No,No,2016,JEEP,TK,39.144765,-77.21921667,"(39.144765, -77.21921667)"
MCP3220004B,230064017,Montgomery County Police,Property Damage Crash,11/02/2023 03:14:00 PM,Maryland (State),MUNCASTER MILL RD,AIRPARK RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,9959CDCF-319B-4E34-A8CD-D6C7128438A7,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,MD,533E4FAA-A31F-40D2-A588-5EE210F458E8,NO DAMAGE,ONE OCLOCK,PICKUP TRUCK,UNKNOWN,West,35,No,No,2023,DODGE,1500,39.14795683,-77.14609383,"(39.14795683, -77.14609383)"
DM8522000L,230046096,Takoma Park Police Depart,Property Damage Crash,07/25/2023 11:26:00 PM,,PRINCE GEORGES AVE,BELFORD PL,,N/A,,OTHER,CLEAR,DRY,DARK LIGHTS ON,N/A,UNKNOWN,,B9CF9A26-ECDE-4058-85C7-551282A124B4,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,F544C17C-9EF1-43F0-BFE8-FB795B7A516C,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,North,25,No,No,2015,LEXUS,SD,38.97271333,-76.998232,"(38.97271333, -76.998232)"
