Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
MCP3190000Q,190024420,Montgomery County Police,Property Damage Crash,05/22/2019 06:00:00 PM,Maryland (State),GEORGIA AVE,CONNECTICUT AVE,,N/A,,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,BF4E2D42-EF90-4766-9848-667BCDCE7CF0,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,C22ED612-F56D-46A6-BE82-BC564FCFE2AD,SUPERFICIAL,NINE OCLOCK,PASSENGER CAR,CHANGING LANES,South,50,No,No,2003,HONDA,ODYSSEY,39.08391939,-77.07798352,"(39.08391939, -77.07798352)"
MCP30380053,210020082,Montgomery County Police,Injury Crash,05/27/2021 03:23:00 PM,County,FENTON ST,WAYNE AVE,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,NONE DETECTED,4BA8EEA8-73DE-4FA4-BA05-190B9CD4E625,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,DD05FDD9-64B1-4CB0-A974-1D369A23F7AD,UNKNOWN,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MAKING RIGHT TURN,West,30,No,No,0,UNKNOWN,UNKNOWN,38.99552664,-77.02445613,"(38.99552664, -77.02445613)"
MCP2046009V,190013171,Montgomery County Police,Property Damage Crash,03/22/2019 08:59:00 AM,,,,PARKING LOT OF 11200 LOCKWOOD DR,,,SAME DIR REAR END,N/A,,DAYLIGHT,N/A,NONE DETECTED,,4162EC2A-8214-4943-8E28-EA63F2BA35D8,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,9E748D1D-8963-4A0C-8F9C-005E12F4E8C1,SUPERFICIAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,0,No,No,2001,MERZ,ML320,39.03986667,-76.99162,"(39.03986667, -76.99162)"
MCP27230069,220016036,Montgomery County Police,Injury Crash,04/15/2022 05:40:00 PM,Maryland (State),GEORGIA AVE,WENDY LA,,N/A,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,UNKNOWN,29B1C967-7796-4A9C-9970-F43DFDC79288,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,E8977C19-3866-422D-A0D5-CB55B1C0574B,FUNCTIONAL,TEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2014,CHEVY,SILVERADO,39.08033167,-77.07376333,"(39.08033167, -77.07376333)"
DD5625000M,180028943,Rockville Police Departme,Injury Crash,06/12/2018 08:27:00 AM,County,E GUDE DR,DOVER RD,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,450752E9-5475-457D-8632-3141F6F3BE1A,Yes,POSSIBLE INJURY,N/A,LOOKED BUT DID NOT SEE,MD,912186CB-21E9-446F-9FE8-08FF532EC7DB,FUNCTIONAL,TWO OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,40,No,No,2012,FORD,MUSTAND,39.09989712,-77.13978946,"(39.09989712, -77.13978946)"
MCP33500013,230052223,Montgomery County Police,Property Damage Crash,08/30/2023 01:10:00 PM,Maryland (State),MONTGOMERY AVE,PEARL ST,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,31D9D161-6A1E-48CD-94E5-19AC1AC32A6A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,139206AA-9B5E-4BC6-88E2-9FDAAA539DA1,FUNCTIONAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,STARTING FROM LANE,North,20,No,No,2014,HOND,CR-V,38.98365,-77.09195,"(38.98365, -77.09195)"
MCP31780015,190047918,Montgomery County Police,Property Damage Crash,10/06/2019 08:05:00 AM,Maryland (State),GEORGIA AVE,OLNEY SANDY SPRING RD,,N/A,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,E2995D10-9812-43EA-9FA7-62B38AE438A3,Yes,NO APPARENT INJURY,N/A,INATTENTIVE OR LOST IN THOUGHT,MD,05060467-285D-41CD-9952-8BEF352D1EB9,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,No,No,2019,HONDA,CRV,39.15282107,-77.06636884,"(39.15282107, -77.06636884)"
MCP31360076,240045534,MONTGOMERY,Injury Crash,09/24/2024 11:52:00 AM,Bicycle Route,,,,,,Front to Rear,Cloudy,Dry,Daylight,No Controls,"Unknown, Unknown",,B166E55E-22DF-431E-B349-3F5FB418BAF3,No,No Apparent Injury,Followed Too Closely,Unknown,,F216B80A-5BF7-4DA0-BFE1-6002915F1035,Superficial,Twelve O Clock,Passenger Car,Slowing or Stopping,Northbound,25,No,No,2016,TOYOTA,COROLLA,38.99887639,-76.99796873,"(38.99887639, -76.99796873)"
DD56100067,200041975,Rockville Police Departme,Injury Crash,10/24/2020 01:55:00 PM,Maryland (State),HUNGERFORD DR,N WASHINGTON ST,,ROCKVILLE,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,37CDDAEE-A51C-4E92-936E-F864C740262E,Yes,POSSIBLE INJURY,N/A,UNKNOWN,MD,2E87E904-E0DD-4523-A090-75B77B220D44,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,40,No,No,2015,HONDA,CIVIC,39.07888456,-77.15006502,"(39.07888456, -77.15006502)"
MCP2361001W,210041436,Montgomery County Police,Injury Crash,10/15/2021 07:53:00 PM,Maryland (State),MONTGOMERY VILLAGE AVE,RUSSELL AVE,,GAITHERSBURG,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,723FD180-C944-4652-84F1-771852EEEE02,Yes,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,A302EBE9-68FC-4316-8936-DA2AE28D27D3,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,No,No,2015,FORD,ESCAPE,39.15448167,-77.20921,"(39.15448167, -77.20921)"
MCP9301002X,190042483,Montgomery County Police,Injury Crash,09/05/2019 07:30:00 AM,Maryland (State),S FREDERICK RD,W DEER PARK RD,,GAITHERSBURG,,HEAD ON LEFT TURN,N/A,N/A,DAYLIGHT,TRAFFIC SIGNAL,N/A,,EDA22F15-2797-4189-A0C8-F78B6BD3D074,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,DB3577BD-5F82-4E35-93C9-EABF98F2AC5A,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2017,FORD,VN,39.13228333,-77.18911833,"(39.13228333, -77.18911833)"
MCP1151009K,190025591,Montgomery County Police,Property Damage Crash,05/30/2019 11:22:00 AM,,,,PARKING LOT OF 12901 SUGARLOAF CHAPEL DRIVE,,,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,E6305B15-D6E0-4BE0-9FE1-9DA13EF4F431,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,CADFFEA2-0EFA-4E04-928F-B5C23BE30F67,FUNCTIONAL,ELEVEN OCLOCK,PASSENGER CAR,BACKING,Unknown,0,No,No,2001,HONDA,ACCORD,39.2461567,-77.2730514,"(39.2461567, -77.2730514)"
DD5658001B,230053260,Rockville Police Departme,Property Damage Crash,09/05/2023 11:50:00 AM,,FALLS ROAD,WOTTON PARKWAY,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,33294810-C0B1-4C67-BAE6-7705FE0F7AAC,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,1BD0C16F-0F95-4DA1-86AF-CA0E20A52EDF,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,25,No,No,2023,KIA,TELLURIDE,39.06993617,-77.1705716,"(39.06993617, -77.1705716)"
MCP3150000Y,190022301,Montgomery County Police,Property Damage Crash,05/11/2019 09:28:00 PM,County,OLD COLUMBIA PIKE,TECH RD,,N/A,,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,,2EF76543-540C-4EA1-8AAF-3E251EF8D855,No,NO APPARENT INJURY,"V WIPERS|W OTHER ENVIRONMENTAL, WET",NOT DISTRACTED,MD,61EA774B-C866-430C-805B-C406D08BB1E0,DISABLING,FIVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,0,No,No,2016,CHEVROLET,EQUINOX,39.05821167,-76.96823,"(39.05821167, -76.96823)"
